throttles,time,vehicle_mass,vehicle_propellant,pursuer_pos_x,pursuer_pos_y,pursuer_pos_z,pursuer_vel_x,pursuer_vel_y,pursuer_vel_z,evader_pos_x,evader_pos_y,evader_pos_z,evader_vel_x,evader_vel_y,evader_vel_z
"[0, -1.0, 0]",7.939999999999919,6684.962890625,1199.99072265625,709618.593003973,-242777.83931656295,-0.0002645100434047828,702.371414049345,2053.163224167002,0.00010816255410506063,710461.578921095,-240299.27614849538,-0.4198803656003175,695.1998085049156,2055.60264598196,0.0035877370720020104
"[0, -1.0, 0]",9.019999999999897,6684.11328125,1199.7783203125,710373.7328757306,-240559.2562787039,-0.06226202474278288,696.1232848254149,2055.2912128538237,-0.23880318673823756,711208.9247498983,-238078.0556626252,-0.41600350571167544,688.7732055124621,2057.7651303555867,0.003591420769840231
"[0, 0, -1.0]",10.059999999999874,6683.29052734375,1199.572509765625,711108.3296615635,-238379.53573706697,-0.3826727030050085,689.9859019775904,2057.3600192053,-0.47548706077575564,711935.6791434893,-235895.7079774671,-0.4121949883360491,682.4590698581407,2059.8680326885005,0.003594470426087626
"[0, 0, -1.0]",10.599999999999863,6683.2138671875,1199.553466796875,711480.0575536937,-237268.2720139163,-0.6444362091692705,686.7771754022758,2058.4329446413085,-0.4847458629498268,712303.3377701676,-234783.09189375417,-0.4102535035322029,679.2399631953572,2060.931875166457,0.0035960854670916143
"[0, 0, -1.0]",12.219999999999828,6681.447265625,1199.1116943359375,712584.3173223069,-233930.84961133404,-1.8268982430254093,676.6495276409973,2061.7855382253433,-0.8594333080812454,713395.874871947,-231441.81930522202,-0.4044205759800954,669.5727203997243,2064.0932073879076,0.0036053403212136237
"[0, 0, -1.0]",12.759999999999817,6681.447265625,1199.1116943359375,712948.8381864531,-232817.20038112986,-2.2909898002299713,673.4275025634229,2062.84049363576,-0.8594240009526756,713756.5736410004,-230326.92635366778,-0.4024728542327183,666.3470260138523,2065.136911385047,0.0036086656018570196
"[0, 0, -1.0]",13.319999999999805,6680.59765625,1198.8992919921875,713311.5596481898,-231702.96348251498,-2.801921973621113,669.9766797589937,2063.9649118734083,-1.0395954620179242,714115.5294152179,-229211.47222337974,-0.40052368320675,663.1197060887189,2066.1755747190546,0.0036112847187372843
"[0, 0, -1.0]",13.839999999999794,6679.7470703125,1198.67822265625,713672.4123341492,-230588.11906688285,-3.414044061885053,666.5151055987095,2065.087305454613,-1.226991897999503,714472.7419989144,-228095.45869297133,-0.3985738523535671,659.8907657018133,2067.20919393258,0.003611253500953815
"[0, 0, -1.0]",14.379999999999782,6678.86328125,1198.4658203125,714018.1330362307,-229513.9937811155,-4.099076975556628,663.1803465796978,2066.1627912904523,-1.407199855887963,714828.2095057934,-226978.88909965585,-0.39662310408747903,656.6602136733247,2068.2377675012217,0.003611462175752811
"[0, 0, -1.0]",14.91999999999977,6677.9794921875,1198.244873046875,714375.3145754205,-228397.96531462946,-4.909860989618111,659.5865961077843,2067.3158460553122,-1.6018485898157895,715181.931746858,-225861.76609340578,-0.39467264599854524,653.4280573816169,2069.2612943073245,0.0036114156479762904
"[0, 0, -1.0]",15.45999999999976,6677.095703125,1198.02392578125,714730.6245148939,-227281.33788690766,-5.821866747584913,656.2485038957144,2068.381183353847,-1.7820955512609842,715533.9083849805,-224744.09182489457,-0.3927232127612168,650.1943071758636,2070.279769784287,0.003611517075302384
"[0, 0, -1.0]",16.019999999999747,6676.17822265625,1197.79443359375,715097.1161413108,-226122.72426749827,-6.874640697265363,652.6511614891405,2069.523254256161,-1.9767850938816034,715884.1383198698,-223625.86852138885,-0.3907736871636871,646.9589695983665,2071.2931896682244,0.00361171546761474
"[0, 0, -1.0]",16.539999999999736,6675.3291015625,1197.5736083984375,715448.6106847032,-225004.88555090668,-7.99287205795422,649.1808769909553,2070.619067309557,-2.1642816471288886,716232.620844953,-222507.09947498125,-0.3888256955020113,643.7220540107161,2072.301552944911,0.0036112630503501997
"[0, 0, -1.0]",17.099999999999724,6674.41064453125,1197.3526611328125,715798.2308165074,-223886.45650987732,-9.212356867423368,645.7089006472349,2071.7096451680713,-2.3517980265676024,716579.3547484039,-221387.78761720247,-0.3868742484283576,640.4835639299957,2073.304860895752,0.0036109349991284567
"[0, 0, -1.0]",17.619999999999713,6673.56103515625,1197.14013671875,716133.1297227351,-222808.8954947055,-10.482318669822005,642.3642633168357,2072.75478479079,-2.5321185379397337,716924.3396305221,-220267.93524663075,-0.3849238559501824,637.2435129510967,2074.303105469822,0.0036110459731046873
"[0, 0, -1.0]",18.1599999999997,6672.6435546875,1196.9107666015625,716491.8442100373,-221647.83874121873,-11.955126845089001,638.7599156562139,2073.8751475481195,-2.726883799063313,717267.574521339,-219147.54511032903,-0.38297507613639326,634.0019056016387,2075.296286065226,0.0036111284856921166
"[0, 0, -1.0]",18.69999999999969,6671.79345703125,1196.6983642578125,716823.1288109354,-220569.1542688321,-13.420142133758993,635.4120779036496,2074.91027785743,-2.9072383366501215,717596.4423052216,-218068.14529425948,-0.3810959868520811,630.7587457613996,2076.2844033327383,0.003611272739084459
"[0, 0, -1.0]",19.23999999999968,6670.8759765625,1196.4688720703125,717177.9491149362,-219406.89344988624,-15.103027441735895,631.8043095273392,2076.0198949440437,-3.1020391686455917,717948.7906152117,-216905.16266427902,-0.3790758840847328,627.5140509727366,2077.267448625964,0.0036114202991681665
"[0, 0, -1.0]",19.779999999999667,6670.0263671875,1196.2564697265625,717505.6159806311,-218327.09629576543,-16.763131984905247,628.4533209389651,2077.0450804331067,-3.2824261567738606,718286.7701209105,-215783.17567843065,-0.3771272742919791,624.2678236968143,2078.2454241740074,0.0036111290515381533
"[0, 0, -1.0]",20.299999999999656,6669.17626953125,1196.0439453125,717831.5397587899,-217246.76722656042,-18.517185960802284,624.9715103380973,2078.1047650808587,-3.4700445853141426,718610.5745287049,-214702.24608339157,-0.37524370178332944,621.1403832841621,2079.182386341855,0.003611255211196873
"[0, 0, -1.0]",20.839999999999645,6668.29248046875,1195.8231201171875,718180.5843723373,-216082.74390719048,-20.51121578859303,621.4880953603044,2079.1593269257746,-3.6576791230798076,718945.1111395499,-213579.22805798822,-0.3732946676215896,617.8911699717805,2080.150403362948,0.003611277196656104
"[0, 0, -1.0]",21.379999999999633,6667.4091796875,1195.6021728515625,718515.2468794283,-214959.714234386,-22.537171506371923,618.0030893842942,2080.208785242525,-3.845329173087294,719277.8928915061,-212455.68822608195,-0.37134611332101386,614.6404462516537,2081.1133427282666,0.0036113574727987263
"[0, 0, -1.0]",21.91999999999962,6666.52490234375,1195.381103515625,718848.0270565393,-213836.1192287568,-24.664462419878507,614.516504750261,2081.253154821544,-4.03299453944633,719608.9184974196,-211331.62993862745,-0.36939715659227446,611.3882220585764,2082.071202296821,0.003611287601636981
"[0, 1.0, 0]",22.45999999999961,6665.6416015625,1195.1517333984375,719178.9240547325,-212711.96163334727,-26.893096665531253,611.0283546225455,2082.292453955044,-4.220674802409516,719938.1878215899,-210207.05560126773,-0.36745228679463793,608.1345054646285,2083.0239796211317,0.0036111148614175193
"[0, -1.0, 0]",23.519999999999587,6663.90771484375,1194.7269287109375,719822.9974502343,-210503.66224232502,-31.45309569213479,604.2320120846099,2084.295559649243,-4.168594784296256,720579.4188110917,-207998.0687095753,-0.3636292814457356,601.7432682444528,2084.8794575326674,0.003611327581266366
"[0, 1.0, 0]",24.059999999999576,6663.83984375,1194.7099609375,720148.4001881741,-209377.8850753395,-33.698920483517306,600.9700254065286,2085.246723785974,-4.158860411670493,720903.4789148725,-206871.98229869956,-0.3616764366653129,598.4851751302696,2085.8171621060815,0.003611976381892923
"[0, 1.0, 0]",24.599999999999564,6663.02392578125,1194.505859375,720460.1311265421,-208293.33175071393,-35.91900107876131,598.0013665871646,2086.109792965584,-4.3887613754834165,721225.7808265365,-205745.3896942721,-0.3597247075569143,595.2256206477737,2086.7497751258097,0.0036129567337370716
"[0, 1.0, 0]",25.67999999999954,6661.23046875,1194.0576171875,721102.2898075067,-206039.2730679524,-40.43257607460761,591.0259340643341,2088.1137445792965,-3.9232152160748326,721865.1033424257,-203490.6978270632,-0.35582252772559286,588.7021581590892,2088.5997176062074,0.003612028409772261
"[0, 1.0, 0]",26.21999999999953,6661.16259765625,1194.0406494140625,721432.3813636734,-204869.67768085015,-42.6243479926026,587.7579571059811,2089.0444996936485,-3.9134378473307847,722182.1200009016,-202362.60747855876,-0.35387051327885644,585.4382666517023,2089.51704278861,0.003611564046992921
"[0, 1.0, 0]",26.75999999999952,6660.3408203125,1193.8350830078125,721748.8446718747,-203741.33157799163,-44.675402232756745,584.3227487060472,2090.0160805934424,-3.6755469478048544,722497.3747503592,-201234.02204744815,-0.3519223363454458,582.172945573423,2090.4292677529675,0.003610895603721964
"[0, 1.0, 0]",27.299999999999507,6659.453125,1193.604736328125,722063.4488302248,-202612.4609431712,-46.5927539537606,580.8778774143921,2090.985181732828,-3.4262096904541113,722810.8671869119,-200104.94385474126,-0.34997297217521606,578.9062034221593,2091.3363896467836,0.003611158823509708
"[0, 1.0, 0]",27.839999999999495,6658.53564453125,1193.3837890625,722376.1922026213,-201483.06852209067,-48.37531966268203,577.4311843829078,2091.9487509743485,-3.17659193238116,723122.5922725783,-198975.38022963487,-0.34802686347744327,575.6380480211237,2092.238406686956,0.003610621400226499
"[0, 1.0, 0]",28.379999999999484,6657.685546875,1193.17138671875,722675.5930905186,-200395.01496007247,-49.96454209634845,574.1109905649352,2092.871674179243,-2.936535260155543,723432.5531532402,-197845.3314964376,-0.34607927928436766,572.3684864972784,2093.135316858115,0.0036109419472016846
"[0, 1.0, 0]",28.919999999999472,6656.76806640625,1192.94189453125,722996.0932746563,-199222.7297073237,-51.53601638301354,570.5332503968061,2093.8601735440534,-2.6772397546085216,723740.7472156411,-196714.79953608665,-0.344134243941717,569.097527461268,2094.027117413351,0.0036111325008558737
"[0, 1.0, 0]",29.45999999999946,6655.91845703125,1192.720947265625,723303.2493198183,-198091.78904121742,-52.914108318792906,567.0820005248293,2094.8079564645,-2.427510301189331,724047.1749062586,-195583.78754920082,-0.3421797506085298,565.8251787641302,2094.9138065949905,0.003611537903160489
"[0, 1.0, 0]",29.99999999999945,6655.03466796875,1192.5001220703125,723608.541282716,-196960.33799878947,-54.15733642683248,563.6292422113775,2095.7504623836007,-2.1777455994729484,724351.8347468146,-194452.2977741507,-0.34021867618779567,562.551448119227,2095.7953824123942,0.0036114777426647926
"[0, 1.0, 0]",30.539999999999438,6654.150390625,1192.28759765625,723900.7636402892,-195870.31284477797,-55.227123512799714,560.1749937080813,2096.6877305076537,-1.927946423368295,724654.7263098552,-193320.3333654444,-0.3382594543106734,559.2763442108948,2096.6718418409446,0.00361190094988606
"[0, 1.0, 0]",31.079999999999426,6653.2666015625,1192.05810546875,724213.5297287274,-194695.91612581591,-56.23912725195684,556.7192668250356,2097.619768485144,-1.6781118341312165,724955.8491749024,-192187.89684601367,-0.3363071882019213,555.9998747796002,2097.5431833630514,0.0036119820491022914
"[0, 1.0, 0]",31.619999999999415,6652.38330078125,1191.8372802734375,724513.2246158151,-193562.95094006907,-57.0776523173563,553.2620734816355,2098.5465977199024,-1.4282436436496035,725255.2019120607,-191054.99144565137,-0.334355381201938,552.7220475663863,2098.409404633378,0.0036121325871663057
"[0, 1.0, 0]",33.219999999999594,6650.58203125,1191.395263671875,725390.2893955897,-190203.10996875202,-58.832765172683615,543.1852320072337,2101.2153152686064,-0.9281491210189209,726131.7789632191,-187695.50464509666,-0.3285613613957352,543.0020733245759,2100.9459062660253,0.003612386890140873
"[0, 1.0, 0]",33.75999999999968,6650.58203125,1191.395263671875,725682.7236251726,-189068.22195618346,-59.33389364972907,539.9043025185425,2102.0728616921406,-0.9278819422807899,726424.1136025772,-186560.7653658451,-0.32661273375349964,539.7189442423586,2101.791816348485,0.0036125017331165576
"[0, 1.0, 0]",34.319999999999766,6649.73193359375,1191.182861328125,725973.3402769873,-187932.86013673487,-59.77245484963957,536.447009013931,2102.9719831852253,-0.6875185718289156,726714.6742176298,-185425.57157498828,-0.32465882525745826,536.4344972453686,2102.6325959996266,0.003612393699959693
"[0, 0, -1.0]",36.4400000000001,6647.93017578125,1190.7325439453125,727096.3558526353,-183470.89471174282,-60.42928922856635,523.176844654442,2106.3683441895146,-0.17734433985190493,727848.7064043612,-180922.412024014,-0.31692811227937057,523.4055517862898,2105.914080992655,0.0036174895540608265
"[0, 0, 1.0]",39.680000000000604,6647.04638671875,1190.5115966796875,728758.8918728647,-176638.11480543864,-61.451290710919935,503.06320292653265,2111.3598634602995,-0.3639978705131929,729512.53174686,-174091.40623693174,-0.3051544573691132,503.64144673317094,2110.7286249759404,0.0036271336686682365
"[0, 0, 1.0]",41.280000000000854,6646.19677734375,1190.2991943359375,729566.2180439915,-173215.8871376388,-61.899043969039624,493.52031381980066,2113.6319079198956,-0.18206947441926932,730310.5361522089,-170712.3888619998,-0.29934600663632693,493.8649553822885,2113.0377895213933,0.0036319230692746785
"[0, 1.0, 0]",46.64000000000169,6645.3134765625,1190.0782470703125,732115.453476392,-161909.1922021117,-62.01453762202698,460.9425691873439,2121.079993336505,0.009041150532561456,732869.7183282217,-159366.43962630542,-0.27981126008601365,461.0377635870757,2120.4432756289452,0.003645269327462928
